depth_m;q_MPa;f_kPa;soil_type;;;;;;;;;;;;;;;;;
8,4;9;30;sand;;;;;;;;;;;;;;;;;
8,5;7,3;31;sand;;;;;;;;;;;;;;;;;
8,6;8,4;29;sand;;;;;;;;;;;;;;;;;
8,7;8,2;21;sand;;;;;;;;;;;;;;;;;
8,8;7,7;23;sand;;;;;;;;;;;;;;;;;
8,9;6,8;28;sand;;;;;;;;;;;;;;;;;
9;7;29;sand;;;;;;;;;;;;;;;;;
9,1;4,9;31;sand;;;;;;;;;;;;;;;;;
9,2;7,4;36;sand;;;;;;;;;;;;;;;;;
9,3;7,8;30;sand;;;;;;;;;;;;;;;;;
9,4;6,3;25;sand;;;;;;;;;;;;;;;;;
9,5;5,7;24;sand;;;;;;;;;;;;;;;;;
9,6;4,2;34;sand;;;;;;;;;;;;;;;;;
9,7;5,4;32;sand;;;;;;;;;;;;;;;;;
9,8;7,1;27;sand;;;;;;;;;;;;;;;;;
9,9;8,6;23;sand;;;;;;;;;;;;;;;;;
10;8,1;13;sand;;;;;;;;;;;;;;;;;
10,1;7,9;11;sand;;;;;;;;;;;;;;;;;
10,2;7;8;sand;;;;;;;;;;;;;;;;;
10,3;4,8;9;sand;;;;;;;;;;;;;;;;;
10,4;5,2;10;sand;;;;;;;;;;;;;;;;;
10,5;5,8;12;sand;;;;;;;;;;;;;;;;;
10,6;6,1;12;sand;;;;;;;;;;;;;;;;;
10,7;6;13;sand;;;;;;;;;;;;;;;;;
10,8;9,7;15;sand;;;;;;;;;;;;;;;;;
10,9;9,1;19;sand;;;;;;;;;;;;;;;;;
11;10,8;29;sand;;;;;;;;;;;;;;;;;
11,1;14,5;36;sand;;;;;;;;;;;;;;;;;
11,2;16;41;sand;;;;;;;;;;;;;;;;;
11,3;17,1;51;sand;;;;;;;;;;;;;;;;;
11,4;14,2;60;sand;;;;;;;;;;;;;;;;;
11,5;11;51;sand;;;;;;;;;;;;;;;;;
11,6;12,2;38;sand;;;;;;;;;;;;;;;;;
11,7;14,1;38;sand;;;;;;;;;;;;;;;;;
11,8;12,1;53;sand;;;;;;;;;;;;;;;;;
11,9;13,5;58;sand;;;;;;;;;;;;;;;;;
12;13,1;50;sand;;;;;;;;;;;;;;;;;
12,1;10,3;47;sand;;;;;;;;;;;;;;;;;
12,2;8,7;44;sand;;;;;;;;;;;;;;;;;
12,3;13,6;48;sand;;;;;;;;;;;;;;;;;
12,4;15,6;36;sand;;;;;;;;;;;;;;;;;
12,5;16,1;44;sand;;;;;;;;;;;;;;;;;
12,6;14,7;51;sand;;;;;;;;;;;;;;;;;
12,7;14;57;sand;;;;;;;;;;;;;;;;;
12,8;13,2;58;sand;;;;;;;;;;;;;;;;;
12,9;11,4;57;sand;;;;;;;;;;;;;;;;;
13;10,4;52;sand;;;;;;;;;;;;;;;;;
13,1;0,5;45;sand;;;;;;;;;;;;;;;;;
13,2;9,5;42;sand;;;;;;;;;;;;;;;;;
13,3;9,7;38;sand;;;;;;;;;;;;;;;;;
13,4;10,3;37;sand;;;;;;;;;;;;;;;;;
13,5;10,4;47;sand;;;;;;;;;;;;;;;;;
13,6;9,4;43;sand;;;;;;;;;;;;;;;;;
13,7;10,2;41;sand;;;;;;;;;;;;;;;;;
13,8;9,1;37;sand;;;;;;;;;;;;;;;;;
13,9;8,6;37;sand;;;;;;;;;;;;;;;;;
14;9;40;sand;;;;;;;;;;;;;;;;;
14,1;9,8;36;sand;;;;;;;;;;;;;;;;;
14,2;12,2;37;sand;;;;;;;;;;;;;;;;;
14,3;13;42;sand;;;;;;;;;;;;;;;;;
14,4;13,8;45;sand;;;;;;;;;;;;;;;;;
14,5;15;48;sand;;;;;;;;;;;;;;;;;
14,6;13,6;36;sand;;;;;;;;;;;;;;;;;
14,7;11,9;29;sand;;;;;;;;;;;;;;;;;
14,8;7,5;21;sand;;;;;;;;;;;;;;;;;
14,9;7;25;sand;;;;;;;;;;;;;;;;;
15;7,4;36;sand;;;;;;;;;;;;;;;;;
15,1;10,7;34;sand;;;;;;;;;;;;;;;;;
15,2;13,3;35;sand;;;;;;;;;;;;;;;;;
15,3;13,9;30;sand;;;;;;;;;;;;;;;;;
15,4;16,2;39;sand;;;;;;;;;;;;;;;;;
15,5;15,7;47;sand;;;;;;;;;;;;;;;;;
15,6;12,7;58;sand;;;;;;;;;;;;;;;;;
15,7;13;56;sand;;;;;;;;;;;;;;;;;
15,8;13,6;47;sand;;;;;;;;;;;;;;;;;
15,9;16;42;sand;;;;;;;;;;;;;;;;;
16;14,1;47;sand;;;;;;;;;;;;;;;;;
16,1;13,1;46;sand;;;;;;;;;;;;;;;;;
16,2;11,6;41;sand;;;;;;;;;;;;;;;;;
16,3;13,4;35;sand;;;;;;;;;;;;;;;;;
16,4;15,6;34;sand;;;;;;;;;;;;;;;;;
16,5;15,6;32;sand;;;;;;;;;;;;;;;;;
16,6;17;28;sand;;;;;;;;;;;;;;;;;
16,7;20,9;27;sand;;;;;;;;;;;;;;;;;
16,8;21,6;26;sand;;;;;;;;;;;;;;;;;
16,9;20,3;29;sand;;;;;;;;;;;;;;;;;
17;15,6;35;sand;;;;;;;;;;;;;;;;;
17,1;9,2;28;sand;;;;;;;;;;;;;;;;;
17,2;9,5;17;sand;;;;;;;;;;;;;;;;;
17,3;10,4;14;sand;;;;;;;;;;;;;;;;;
17,4;12,2;24;sand;;;;;;;;;;;;;;;;;
17,5;9,3;23;sand;;;;;;;;;;;;;;;;;
17,6;8,2;22;sand;;;;;;;;;;;;;;;;;
17,7;10,6;21;sand;;;;;;;;;;;;;;;;;
17,8;9,1;18;sand;;;;;;;;;;;;;;;;;
17,9;9,8;24;sand;;;;;;;;;;;;;;;;;
18;20,6;35;sand;;;;;;;;;;;;;;;;;
18,1;30;51;sand;;;;;;;;;;;;;;;;;
18,2;30,3;98;sand;;;;;;;;;;;;;;;;;
18,3;30,6;166;sand;;;;;;;;;;;;;;;;;
