depth_m;q_MPa;f_kPa;soil_type;;;;;
9,2;8,5;63;clay;;;;;
9,3;5,2;87;clay;;;;;
9,4;3,3;69;clay;;;;;
9,5;2,2;63;clay;;;;;
9,6;0,9;47;clay;;;;;
9,7;1,6;36;sand;;;;;
9,8;12,3;28;sand;;;;;
9,9;13,6;29;sand;;;;;
10;12,8;43;sand;;;;;
10,1;12,4;55;sand;;;;;
10,2;10,9;59;sand;;;;;
10,3;8,8;60;sand;;;;;
10,4;9,5;62;sand;;;;;
10,5;12,9;50;sand;;;;;
10,6;14,9;52;sand;;;;;
10,7;14,4;60;sand;;;;;
10,8;15,3;63;sand;;;;;
10,9;12,4;68;sand;;;;;
11;10,7;65;sand;;;;;
11,1;11,4;59;sand;;;;;
11,2;15,1;55;sand;;;;;
11,3;14;55;sand;;;;;
11,4;11,8;62;sand;;;;;
11,5;14,5;66;sand;;;;;
11,6;12,5;50;sand;;;;;
11,7;11,2;50;sand;;;;;
11,8;10,9;40;sand;;;;;
11,9;11,7;37;sand;;;;;
12;9,4;30;sand;;;;;
12,1;9,3;29;sand;;;;;
12,2;10,1;31;sand;;;;;
12,3;10;35;sand;;;;;
12,4;10,9;42;sand;;;;;
12,5;10,8;50;sand;;;;;
12,6;11,4;59;sand;;;;;
12,7;11,2;62;sand;;;;;
12,8;13,6;55;sand;;;;;
12,9;14,8;49;sand;;;;;
13;15,1;49;sand;;;;;
13,1;14,8;54;sand;;;;;
13,2;19;57;sand;;;;;
13,3;18,6;65;sand;;;;;
13,4;16,7;74;sand;;;;;
13,5;14,1;77;sand;;;;;
13,6;13,9;68;sand;;;;;
13,7;14,1;61;sand;;;;;
13,8;14,3;64;sand;;;;;
13,9;12,5;69;sand;;;;;
14;12;65;sand;;;;;
14,1;11,5;53;sand;;;;;
14,2;11,4;48;sand;;;;;
14,3;13,3;49;sand;;;;;
14,4;14,2;47;sand;;;;;
14,5;12,5;47;sand;;;;;
14,6;18,4;53;sand;;;;;
14,7;25,8;58;sand;;;;;
14,8;24,5;55;sand;;;;;
14,9;29,9;61;sand;;;;;
15;14,8;65;sand;;;;;
15,1;22;56;sand;;;;;
15,2;19,3;44;sand;;;;;
15,3;20,4;43;sand;;;;;
15,4;20,2;50;sand;;;;;
15,5;19,2;75;sand;;;;;
15,6;16,5;63;sand;;;;;
15,7;18,8;66;sand;;;;;
15,8;18,7;78;sand;;;;;
15,9;17,7;70;sand;;;;;
16;15,1;59;sand;;;;;
16,1;14,9;46;sand;;;;;
16,2;17,4;38;sand;;;;;
16,3;22,3;35;sand;;;;;
16,4;23,8;40;sand;;;;;
16,5;25,6;39;sand;;;;;
16,6;25,6;38;sand;;;;;
16,7;22,6;42;sand;;;;;
16,8;16,6;46;sand;;;;;
16,9;14,9;48;sand;;;;;
17;17,6;40;sand;;;;;
17,1;17,1;32;sand;;;;;
17,2;15,3;25;sand;;;;;
17,3;10,5;22;sand;;;;;
17,4;7,8;18;sand;;;;;
17,5;5,7;18;sand;;;;;
17,6;11,3;24;sand;;;;;
17,7;11,4;25;sand;;;;;
17,8;8,7;25;sand;;;;;
17,9;6,1;16;sand;;;;;
18;7,6;27;sand;;;;;
18,1;15;30;sand;;;;;
18,2;25,3;47;sand;;;;;
18,3;26,7;62;sand;;;;;
18,4;32,1;92;sand;;;;;
