depth_m;q_MPa;f_kPa;soil_type;;;;;;;;;;;;;;;;;
10,3;4;12;sand;;;;;;;;;;;;;;;;;
10,4;4,6;8;sand;;;;;;;;;;;;;;;;;
10,5;4,9;5;sand;;;;;;;;;;;;;;;;;
10,6;4,5;6;sand;;;;;;;;;;;;;;;;;
10,7;5,2;7;sand;;;;;;;;;;;;;;;;;
10,8;4,7;6;sand;;;;;;;;;;;;;;;;;
10,9;5,9;7;sand;;;;;;;;;;;;;;;;;
11;7,4;8;sand;;;;;;;;;;;;;;;;;
11,1;9;10;sand;;;;;;;;;;;;;;;;;
11,2;12,9;14;sand;;;;;;;;;;;;;;;;;
11,3;15,2;20;sand;;;;;;;;;;;;;;;;;
11,4;14,6;33;sand;;;;;;;;;;;;;;;;;
11,5;11,9;49;sand;;;;;;;;;;;;;;;;;
11,6;10,6;52;sand;;;;;;;;;;;;;;;;;
11,7;10,3;47;sand;;;;;;;;;;;;;;;;;
11,8;9,6;40;sand;;;;;;;;;;;;;;;;;
11,9;10,5;35;sand;;;;;;;;;;;;;;;;;
12;15,1;34;sand;;;;;;;;;;;;;;;;;
12,1;14,9;47;sand;;;;;;;;;;;;;;;;;
12,2;14;47;sand;;;;;;;;;;;;;;;;;
12,3;12;51;sand;;;;;;;;;;;;;;;;;
12,4;16;44;sand;;;;;;;;;;;;;;;;;
12,5;17,2;47;sand;;;;;;;;;;;;;;;;;
12,6;15;55;sand;;;;;;;;;;;;;;;;;
12,7;13,1;51;sand;;;;;;;;;;;;;;;;;
12,8;17,1;34;sand;;;;;;;;;;;;;;;;;
12,9;15,5;38;sand;;;;;;;;;;;;;;;;;
13;14,5;46;sand;;;;;;;;;;;;;;;;;
13,1;16,7;53;sand;;;;;;;;;;;;;;;;;
13,2;14,6;53;sand;;;;;;;;;;;;;;;;;
13,3;14;57;sand;;;;;;;;;;;;;;;;;
13,4;12,2;41;sand;;;;;;;;;;;;;;;;;
13,5;11,3;32;sand;;;;;;;;;;;;;;;;;
13,6;11;34;sand;;;;;;;;;;;;;;;;;
13,7;10,6;38;sand;;;;;;;;;;;;;;;;;
13,8;9,9;40;sand;;;;;;;;;;;;;;;;;
13,9;9,5;37;sand;;;;;;;;;;;;;;;;;
14;9,2;35;sand;;;;;;;;;;;;;;;;;
14,1;9,1;34;sand;;;;;;;;;;;;;;;;;
14,2;9,1;33;sand;;;;;;;;;;;;;;;;;
14,3;10,1;32;sand;;;;;;;;;;;;;;;;;
14,4;12;32;sand;;;;;;;;;;;;;;;;;
14,5;10,8;37;sand;;;;;;;;;;;;;;;;;
14,6;8,9;40;sand;;;;;;;;;;;;;;;;;
14,7;8,2;39;sand;;;;;;;;;;;;;;;;;
14,8;7,8;35;sand;;;;;;;;;;;;;;;;;
14,9;7,5;34;sand;;;;;;;;;;;;;;;;;
15;7,9;31;sand;;;;;;;;;;;;;;;;;
15,1;11,1;31;sand;;;;;;;;;;;;;;;;;
15,2;12,1;39;sand;;;;;;;;;;;;;;;;;
15,3;9,6;47;sand;;;;;;;;;;;;;;;;;
15,4;8,6;47;sand;;;;;;;;;;;;;;;;;
15,5;10;39;sand;;;;;;;;;;;;;;;;;
15,6;16;33;sand;;;;;;;;;;;;;;;;;
15,7;18;51;sand;;;;;;;;;;;;;;;;;
15,8;17,9;64;sand;;;;;;;;;;;;;;;;;
15,9;13,3;77;sand;;;;;;;;;;;;;;;;;
16;11,6;65;sand;;;;;;;;;;;;;;;;;
16,1;11,8;50;sand;;;;;;;;;;;;;;;;;
16,2;14,3;42;sand;;;;;;;;;;;;;;;;;
16,3;17,2;40;sand;;;;;;;;;;;;;;;;;
16,4;15,4;42;sand;;;;;;;;;;;;;;;;;
16,5;16;42;sand;;;;;;;;;;;;;;;;;
16,6;12,5;34;sand;;;;;;;;;;;;;;;;;
16,7;12,7;26;sand;;;;;;;;;;;;;;;;;
16,8;17;21;sand;;;;;;;;;;;;;;;;;
16,9;13,5;18;sand;;;;;;;;;;;;;;;;;
17;12,5;21;sand;;;;;;;;;;;;;;;;;
17,1;14,5;30;sand;;;;;;;;;;;;;;;;;
17,2;13,5;29;sand;;;;;;;;;;;;;;;;;
17,3;8,7;21;sand;;;;;;;;;;;;;;;;;
17,4;9,6;18;sand;;;;;;;;;;;;;;;;;
17,5;14,7;15;sand;;;;;;;;;;;;;;;;;
17,6;17,6;12;sand;;;;;;;;;;;;;;;;;
17,7;17;17;sand;;;;;;;;;;;;;;;;;
17,8;14,9;21;sand;;;;;;;;;;;;;;;;;
17,9;14,5;14;sand;;;;;;;;;;;;;;;;;
18;15,8;14;sand;;;;;;;;;;;;;;;;;
18,1;17,2;18;sand;;;;;;;;;;;;;;;;;
18,2;18,8;28;sand;;;;;;;;;;;;;;;;;
18,3;26,2;33;sand;;;;;;;;;;;;;;;;;
18,4;28,7;71;sand;;;;;;;;;;;;;;;;;
18,5;81,1;100;sand;;;;;;;;;;;;;;;;;
18,6;36,2;146;sand;;;;;;;;;;;;;;;;;
